Text,Label,Unigrams,Bigrams,Trigrams,Agreement_Count,Disagreement_Count,Modal_Verbs,Negations
"complicated 3D character models are widely used in fields of entertainment, virtual reality, medicine etc",background_claim,complicated 3d character models widely fields entertainment virtual reality medicine etc,complicated 3d 3d character character models models widely widely fields fields entertainment entertainment virtual virtual reality reality medicine medicine etc,complicated 3d character 3d character models character models widely models widely fields widely fields entertainment fields entertainment virtual entertainment virtual reality virtual reality medicine reality medicine etc,0,0,,
The range of breathtaking realistic 3D models is only limited by the creativity of artists and resolution of devices,background_claim,range breathtaking realistic 3d models limited creativity artists resolution devices,range breathtaking breathtaking realistic realistic 3d 3d models models limited limited creativity creativity artists artists resolution resolution devices,range breathtaking realistic breathtaking realistic 3d realistic 3d models 3d models limited models limited creativity limited creativity artists creativity artists resolution artists resolution devices,0,0,,
a production cannot afford major revisions,background_claim,production afford major revisions,production afford afford major major revisions,production afford major afford major revisions,0,0,can,not
providing a flexible and efficient solution to animation remains an open problem,own_claim,providing flexible efficient solution animation remains open problem,providing flexible flexible efficient efficient solution solution animation animation remains remains open open problem,providing flexible efficient flexible efficient solution efficient solution animation solution animation remains animation remains open remains open problem,0,0,,
Skeleton Subspace Deformation (SSD) is the predominant approach to character skinning at present,background_claim,skeleton subspace deformation ssd predominant approach character skinning present,skeleton subspace subspace deformation deformation ssd ssd predominant predominant approach approach character character skinning skinning present,skeleton subspace deformation subspace deformation ssd deformation ssd predominant ssd predominant approach predominant approach character approach character skinning character skinning present,0,0,,
Driving 3D models in a natural and believable manner is not trivial,background_claim,driving 3d models natural believable manner trivial,driving 3d 3d models models natural natural believable believable manner manner trivial,driving 3d models 3d models natural models natural believable natural believable manner believable manner trivial,0,1,,not
its ease of implementation,data,ease implementation,ease implementation,,0,0,,
low cost of computing,data,low cost computing,low cost cost computing,low cost computing,0,0,,
"SSD is widely used in games, virtual reality and other realtime applications",background_claim,ssd widely games virtual reality realtime applications,ssd widely widely games games virtual virtual reality reality realtime realtime applications,ssd widely games widely games virtual games virtual reality virtual reality realtime reality realtime applications,0,0,,
artists will edit the geometry of characters in the rest pose to fine-tune animations,background_claim,artists edit geometry characters rest pose fine tune animations,artists edit edit geometry geometry characters characters rest rest pose pose fine fine tune tune animations,artists edit geometry edit geometry characters geometry characters rest characters rest pose rest pose fine pose fine tune fine tune animations,0,0,will,
This approach is not commonly applied,background_claim,approach commonly applied,approach commonly commonly applied,approach commonly applied,0,1,,not
editing in the rest pose will influence most other poses,background_claim,editing rest pose influence poses,editing rest rest pose pose influence influence poses,editing rest pose rest pose influence pose influence poses,0,0,will,
SSD is also notorious for artifacts at rotating elbows and extreme poses,background_claim,ssd notorious artifacts rotating elbows extreme poses,ssd notorious notorious artifacts artifacts rotating rotating elbows elbows extreme extreme poses,ssd notorious artifacts notorious artifacts rotating artifacts rotating elbows rotating elbows extreme elbows extreme poses,0,0,,
Example based skinning methods such as Pose Space Deformation (PSD) are candidates for correcting SSD limitations,background_claim,example based skinning methods pose space deformation psd candidates correcting ssd limitations,example based based skinning skinning methods methods pose pose space space deformation deformation psd psd candidates candidates correcting correcting ssd ssd limitations,example based skinning based skinning methods skinning methods pose methods pose space pose space deformation space deformation psd deformation psd candidates psd candidates correcting candidates correcting ssd correcting ssd limitations,0,0,,
PSD may be used as a compensation to the underlying SSD,background_claim,psd compensation underlying ssd,psd compensation compensation underlying underlying ssd,psd compensation underlying compensation underlying ssd,0,0,may,
the animator specifies the PSD examples after the SSD has been performed,background_claim,animator specifies psd examples ssd performed,animator specifies specifies psd psd examples examples ssd ssd performed,animator specifies psd specifies psd examples psd examples ssd examples ssd performed,0,0,,
